Data Point,Date/Time,inctemp,
10487,11/19/2017 0:00,20.174,
10488,11/19/2017 0:00,20.174,
10489,11/19/2017 0:01,20.174,
10490,11/19/2017 0:01,20.174,
10491,11/19/2017 0:02,20.174,
10492,11/19/2017 0:02,20.174,
10493,11/19/2017 0:03,20.174,
10494,11/19/2017 0:03,20.174,
10495,11/19/2017 0:04,20.174,
10496,11/19/2017 0:04,20.174,
10497,11/19/2017 0:05,20.174,
10498,11/19/2017 0:05,20.174,
10499,11/19/2017 0:06,20.174,
10500,11/19/2017 0:06,20.174,
10501,11/19/2017 0:07,20.174,
10502,11/19/2017 0:07,20.174,
10503,11/19/2017 0:08,20.174,
10504,11/19/2017 0:08,20.174,
10505,11/19/2017 0:09,20.174,
10506,11/19/2017 0:09,20.174,
10507,11/19/2017 0:10,20.174,
10508,11/19/2017 0:10,20.174,
10509,11/19/2017 0:11,20.174,
10510,11/19/2017 0:11,20.174,
10511,11/19/2017 0:12,20.174,
10512,11/19/2017 0:12,20.174,
10513,11/19/2017 0:13,20.174,
10514,11/19/2017 0:13,20.174,
10515,11/19/2017 0:14,20.174,
10516,11/19/2017 0:14,20.174,
10517,11/19/2017 0:15,20.174,
10518,11/19/2017 0:15,20.174,
10519,11/19/2017 0:16,20.174,
10520,11/19/2017 0:16,20.198,
10521,11/19/2017 0:17,20.198,
10522,11/19/2017 0:17,20.198,
10523,11/19/2017 0:18,20.198,
10524,11/19/2017 0:18,20.198,
10525,11/19/2017 0:19,20.198,
10526,11/19/2017 0:19,20.198,
10527,11/19/2017 0:20,20.198,
10528,11/19/2017 0:20,20.198,
10529,11/19/2017 0:21,20.198,
10530,11/19/2017 0:21,20.198,
10531,11/19/2017 0:22,20.198,
10532,11/19/2017 0:22,20.198,
10533,11/19/2017 0:23,20.198,
10534,11/19/2017 0:23,20.198,
10535,11/19/2017 0:24,20.198,
10536,11/19/2017 0:24,20.198,
10537,11/19/2017 0:25,20.198,
10538,11/19/2017 0:25,20.198,
10539,11/19/2017 0:26,20.198,
10540,11/19/2017 0:26,20.198,
10541,11/19/2017 0:27,20.198,
10542,11/19/2017 0:27,20.198,
10543,11/19/2017 0:28,20.198,
10544,11/19/2017 0:28,20.198,
10545,11/19/2017 0:29,20.198,
10546,11/19/2017 0:29,20.198,
10547,11/19/2017 0:30,20.198,
10548,11/19/2017 0:30,20.198,
10549,11/19/2017 0:31,20.198,
10550,11/19/2017 0:31,20.198,
10551,11/19/2017 0:32,20.198,
10552,11/19/2017 0:32,20.198,
10553,11/19/2017 0:33,20.198,
10554,11/19/2017 0:33,20.198,
10555,11/19/2017 0:34,20.198,
10556,11/19/2017 0:34,20.198,
10557,11/19/2017 0:35,20.198,
10558,11/19/2017 0:35,20.198,
10559,11/19/2017 0:36,20.198,
10560,11/19/2017 0:36,20.198,
10561,11/19/2017 0:37,20.198,
10562,11/19/2017 0:37,20.198,
10563,11/19/2017 0:38,20.198,
10564,11/19/2017 0:38,20.198,
10565,11/19/2017 0:39,20.198,
10566,11/19/2017 0:39,20.198,
10567,11/19/2017 0:40,20.198,
10568,11/19/2017 0:40,20.198,
10569,11/19/2017 0:41,20.198,
10570,11/19/2017 0:41,20.198,
10571,11/19/2017 0:42,20.198,
10572,11/19/2017 0:42,20.198,
10573,11/19/2017 0:43,20.198,
10574,11/19/2017 0:43,20.198,
10575,11/19/2017 0:44,20.198,
10576,11/19/2017 0:44,20.198,
10577,11/19/2017 0:45,20.198,
10578,11/19/2017 0:45,20.198,
10579,11/19/2017 0:46,20.198,
10580,11/19/2017 0:46,20.198,
10581,11/19/2017 0:47,20.198,
10582,11/19/2017 0:47,20.198,
10583,11/19/2017 0:48,20.198,
10584,11/19/2017 0:48,20.198,
10585,11/19/2017 0:49,20.198,
10586,11/19/2017 0:49,20.198,
10587,11/19/2017 0:50,20.174,
10588,11/19/2017 0:50,20.174,
10589,11/19/2017 0:51,20.174,
10590,11/19/2017 0:51,20.174,
10591,11/19/2017 0:52,20.174,
10592,11/19/2017 0:52,20.174,
10593,11/19/2017 0:53,20.174,
10594,11/19/2017 0:53,20.174,
10595,11/19/2017 0:54,20.174,
10596,11/19/2017 0:54,20.174,
10597,11/19/2017 0:55,20.174,
10598,11/19/2017 0:55,20.174,
10599,11/19/2017 0:56,20.174,
10600,11/19/2017 0:56,20.174,
10601,11/19/2017 0:57,20.174,
10602,11/19/2017 0:57,20.174,
10603,11/19/2017 0:58,20.174,
10604,11/19/2017 0:58,20.174,
10605,11/19/2017 0:59,20.174,
10606,11/19/2017 0:59,20.174,
10607,11/19/2017 1:00,20.174,
10608,11/19/2017 1:00,20.174,
10609,11/19/2017 1:01,20.174,
10610,11/19/2017 1:01,20.174,
10611,11/19/2017 1:02,20.174,
10612,11/19/2017 1:02,20.174,
10613,11/19/2017 1:03,20.174,
10614,11/19/2017 1:03,20.174,
10615,11/19/2017 1:04,20.174,
10616,11/19/2017 1:04,20.174,
10617,11/19/2017 1:05,20.174,
10618,11/19/2017 1:05,20.174,
10619,11/19/2017 1:06,20.174,
10620,11/19/2017 1:06,20.174,
10621,11/19/2017 1:07,20.174,
10622,11/19/2017 1:07,20.174,
10623,11/19/2017 1:08,20.174,
10624,11/19/2017 1:08,20.174,
10625,11/19/2017 1:09,20.174,
10626,11/19/2017 1:09,20.174,
10627,11/19/2017 1:10,20.174,
10628,11/19/2017 1:10,20.174,
10629,11/19/2017 1:11,20.174,
10630,11/19/2017 1:11,20.174,
10631,11/19/2017 1:12,20.174,
10632,11/19/2017 1:12,20.174,
10633,11/19/2017 1:13,20.174,
10634,11/19/2017 1:13,20.174,
10635,11/19/2017 1:14,20.174,
10636,11/19/2017 1:14,20.174,
10637,11/19/2017 1:15,20.174,
10638,11/19/2017 1:15,20.174,
10639,11/19/2017 1:16,20.174,
10640,11/19/2017 1:16,20.174,
10641,11/19/2017 1:17,20.174,
10642,11/19/2017 1:17,20.174,
10643,11/19/2017 1:18,20.174,
10644,11/19/2017 1:18,20.174,
10645,11/19/2017 1:19,20.174,
10646,11/19/2017 1:19,20.15,
10647,11/19/2017 1:20,20.15,
10648,11/19/2017 1:20,20.15,
10649,11/19/2017 1:21,20.15,
10650,11/19/2017 1:21,20.15,
10651,11/19/2017 1:22,20.15,
10652,11/19/2017 1:22,20.15,
10653,11/19/2017 1:23,20.15,
10654,11/19/2017 1:23,20.15,
10655,11/19/2017 1:24,20.15,
10656,11/19/2017 1:24,20.15,
10657,11/19/2017 1:25,20.15,
10658,11/19/2017 1:25,20.15,
10659,11/19/2017 1:26,20.15,
10660,11/19/2017 1:26,20.15,
10661,11/19/2017 1:27,20.15,
10662,11/19/2017 1:27,20.15,
10663,11/19/2017 1:28,20.15,
10664,11/19/2017 1:28,20.15,
10665,11/19/2017 1:29,20.15,
10666,11/19/2017 1:29,20.15,
10667,11/19/2017 1:30,20.15,
10668,11/19/2017 1:30,20.15,
10669,11/19/2017 1:31,20.15,
10670,11/19/2017 1:31,20.15,
10671,11/19/2017 1:32,20.15,
10672,11/19/2017 1:32,20.15,
10673,11/19/2017 1:33,20.15,
10674,11/19/2017 1:33,20.15,
10675,11/19/2017 1:34,20.15,
10676,11/19/2017 1:34,20.15,
10677,11/19/2017 1:35,20.15,
10678,11/19/2017 1:35,20.15,
10679,11/19/2017 1:36,20.15,
10680,11/19/2017 1:36,20.15,
10681,11/19/2017 1:37,20.15,
10682,11/19/2017 1:37,20.15,
10683,11/19/2017 1:38,20.15,
10684,11/19/2017 1:38,20.15,
10685,11/19/2017 1:39,20.15,
10686,11/19/2017 1:39,20.15,
10687,11/19/2017 1:40,20.15,
10688,11/19/2017 1:40,20.15,
10689,11/19/2017 1:41,20.15,
10690,11/19/2017 1:41,20.174,
10691,11/19/2017 1:42,20.174,
10692,11/19/2017 1:42,20.174,
10693,11/19/2017 1:43,20.174,
10694,11/19/2017 1:43,20.174,
10695,11/19/2017 1:44,20.174,
10696,11/19/2017 1:44,20.174,
10697,11/19/2017 1:45,20.174,
10698,11/19/2017 1:45,20.174,
10699,11/19/2017 1:46,20.174,
10700,11/19/2017 1:46,20.174,
10701,11/19/2017 1:47,20.174,
10702,11/19/2017 1:47,20.174,
10703,11/19/2017 1:48,20.174,
10704,11/19/2017 1:48,20.174,
10705,11/19/2017 1:49,20.174,
10706,11/19/2017 1:49,20.174,
10707,11/19/2017 1:50,20.174,
10708,11/19/2017 1:50,20.174,
10709,11/19/2017 1:51,20.174,
10710,11/19/2017 1:51,20.174,
10711,11/19/2017 1:52,20.174,
10712,11/19/2017 1:52,20.174,
10713,11/19/2017 1:53,20.174,
10714,11/19/2017 1:53,20.174,
10715,11/19/2017 1:54,20.174,
10716,11/19/2017 1:54,20.174,
10717,11/19/2017 1:55,20.174,
10718,11/19/2017 1:55,20.174,
10719,11/19/2017 1:56,20.174,
10720,11/19/2017 1:56,20.174,
10721,11/19/2017 1:57,20.174,
10722,11/19/2017 1:57,20.174,
10723,11/19/2017 1:58,20.174,
10724,11/19/2017 1:58,20.174,
10725,11/19/2017 1:59,20.174,
10726,11/19/2017 1:59,20.174,
10727,11/19/2017 2:00,20.174,
10728,11/19/2017 2:00,20.174,
10729,11/19/2017 2:01,20.174,
10730,11/19/2017 2:01,20.174,
10731,11/19/2017 2:02,20.174,
10732,11/19/2017 2:02,20.174,
10733,11/19/2017 2:03,20.174,
10734,11/19/2017 2:03,20.174,
10735,11/19/2017 2:04,20.174,
10736,11/19/2017 2:04,20.174,
10737,11/19/2017 2:05,20.174,
10738,11/19/2017 2:05,20.174,
10739,11/19/2017 2:06,20.174,
10740,11/19/2017 2:06,20.174,
10741,11/19/2017 2:07,20.174,
10742,11/19/2017 2:07,20.174,
10743,11/19/2017 2:08,20.15,
10744,11/19/2017 2:08,20.174,
10745,11/19/2017 2:09,20.15,
10746,11/19/2017 2:09,20.15,
10747,11/19/2017 2:10,20.15,
10748,11/19/2017 2:10,20.15,
10749,11/19/2017 2:11,20.15,
10750,11/19/2017 2:11,20.15,
10751,11/19/2017 2:12,20.15,
10752,11/19/2017 2:12,20.15,
10753,11/19/2017 2:13,20.15,
10754,11/19/2017 2:13,20.15,
10755,11/19/2017 2:14,20.15,
10756,11/19/2017 2:14,20.15,
10757,11/19/2017 2:15,20.15,
10758,11/19/2017 2:15,20.15,
10759,11/19/2017 2:16,20.15,
10760,11/19/2017 2:16,20.15,
10761,11/19/2017 2:17,20.15,
10762,11/19/2017 2:17,20.15,
10763,11/19/2017 2:18,20.15,
10764,11/19/2017 2:18,20.15,
10765,11/19/2017 2:19,20.15,
10766,11/19/2017 2:19,20.15,
10767,11/19/2017 2:20,20.15,
10768,11/19/2017 2:20,20.15,
10769,11/19/2017 2:21,20.15,
10770,11/19/2017 2:21,20.15,
10771,11/19/2017 2:22,20.15,
10772,11/19/2017 2:22,20.126,
10773,11/19/2017 2:23,20.15,
10774,11/19/2017 2:23,20.126,
10775,11/19/2017 2:24,20.15,
10776,11/19/2017 2:24,20.126,
10777,11/19/2017 2:25,20.126,
10778,11/19/2017 2:25,20.126,
10779,11/19/2017 2:26,20.126,
10780,11/19/2017 2:26,20.126,
10781,11/19/2017 2:27,20.126,
10782,11/19/2017 2:27,20.126,
10783,11/19/2017 2:28,20.126,
