Datapoint,Date/Time,inctemp,
4229,9/20/2017 0:00,23.28,
4230,9/20/2017 0:00,23.28,
4231,9/20/2017 0:01,23.28,
4232,9/20/2017 0:01,23.28,
4233,9/20/2017 0:02,23.28,
4234,9/20/2017 0:02,23.28,
4235,9/20/2017 0:03,23.28,
4236,9/20/2017 0:03,23.28,
4237,9/20/2017 0:04,23.28,
4238,9/20/2017 0:04,23.28,
4239,9/20/2017 0:05,23.28,
4240,9/20/2017 0:05,23.28,
4241,9/20/2017 0:06,23.28,
4242,9/20/2017 0:06,23.28,
4243,9/20/2017 0:07,23.256,
4244,9/20/2017 0:07,23.256,
4245,9/20/2017 0:08,23.256,
4246,9/20/2017 0:08,23.256,
4247,9/20/2017 0:09,23.256,
4248,9/20/2017 0:09,23.256,
4249,9/20/2017 0:10,23.256,
4250,9/20/2017 0:10,23.256,
4251,9/20/2017 0:11,23.256,
4252,9/20/2017 0:11,23.232,
4253,9/20/2017 0:12,23.232,
4254,9/20/2017 0:12,23.232,
4255,9/20/2017 0:13,23.232,
4256,9/20/2017 0:13,23.232,
4257,9/20/2017 0:14,23.232,
4258,9/20/2017 0:14,23.232,
4259,9/20/2017 0:15,23.232,
4260,9/20/2017 0:15,23.232,
4261,9/20/2017 0:16,23.232,
4262,9/20/2017 0:16,23.232,
4263,9/20/2017 0:17,23.232,
4264,9/20/2017 0:17,23.232,
4265,9/20/2017 0:18,23.232,
4266,9/20/2017 0:18,23.232,
4267,9/20/2017 0:19,23.232,
4268,9/20/2017 0:19,23.232,
4269,9/20/2017 0:20,23.232,
4270,9/20/2017 0:20,23.232,
4271,9/20/2017 0:21,23.232,
4272,9/20/2017 0:21,23.232,
4273,9/20/2017 0:22,23.232,
4274,9/20/2017 0:22,23.232,
4275,9/20/2017 0:23,23.232,
4276,9/20/2017 0:23,23.208,
4277,9/20/2017 0:24,23.208,
4278,9/20/2017 0:24,23.208,
4279,9/20/2017 0:25,23.208,
4280,9/20/2017 0:25,23.208,
4281,9/20/2017 0:26,23.208,
4282,9/20/2017 0:26,23.208,
4283,9/20/2017 0:27,23.208,
4284,9/20/2017 0:27,23.208,
4285,9/20/2017 0:28,23.208,
4286,9/20/2017 0:28,23.208,
4287,9/20/2017 0:29,23.208,
4288,9/20/2017 0:29,23.208,
4289,9/20/2017 0:30,23.208,
4290,9/20/2017 0:30,23.208,
4291,9/20/2017 0:31,23.208,
4292,9/20/2017 0:31,23.208,
4293,9/20/2017 0:32,23.208,
4294,9/20/2017 0:32,23.208,
4295,9/20/2017 0:33,23.208,
4296,9/20/2017 0:33,23.208,
4297,9/20/2017 0:34,23.208,
4298,9/20/2017 0:34,23.208,
4299,9/20/2017 0:35,23.208,
4300,9/20/2017 0:35,23.208,
4301,9/20/2017 0:36,23.208,
4302,9/20/2017 0:36,23.208,
4303,9/20/2017 0:37,23.208,
4304,9/20/2017 0:37,23.208,
4305,9/20/2017 0:38,23.208,
