Datapoint,Date/Time,inctemp,
1216,9/11/2017 0:00,30.142,
1217,9/11/2017 0:00,30.142,
1218,9/11/2017 0:01,30.142,
1219,9/11/2017 0:01,30.142,
1220,9/11/2017 0:02,30.117,
1221,9/11/2017 0:02,30.091,
1222,9/11/2017 0:03,30.041,
1223,9/11/2017 0:03,30.016,
1224,9/11/2017 0:04,29.966,
1225,9/11/2017 0:04,29.916,
1226,9/11/2017 0:05,29.84,
1227,9/11/2017 0:05,29.79,
1228,9/11/2017 0:06,29.715,
1229,9/11/2017 0:06,29.665,
1230,9/11/2017 0:07,29.615,
1231,9/11/2017 0:07,29.54,
1232,9/11/2017 0:08,29.49,
1233,9/11/2017 0:08,29.439,
1234,9/11/2017 0:09,29.389,
1235,9/11/2017 0:09,29.34,
1236,9/11/2017 0:10,29.29,
1237,9/11/2017 0:10,29.215,
1238,9/11/2017 0:11,29.19,
1239,9/11/2017 0:11,29.14,
1240,9/11/2017 0:12,29.09,
1241,9/11/2017 0:12,29.04,
1242,9/11/2017 0:13,28.99,
1243,9/11/2017 0:13,28.965,
1244,9/11/2017 0:14,28.916,
1245,9/11/2017 0:14,28.891,
1246,9/11/2017 0:15,28.841,
1247,9/11/2017 0:15,28.816,
1248,9/11/2017 0:16,28.766,
1249,9/11/2017 0:16,28.742,
1250,9/11/2017 0:17,28.692,
1251,9/11/2017 0:17,28.667,
1252,9/11/2017 0:18,28.642,
1253,9/11/2017 0:18,28.593,
1254,9/11/2017 0:19,28.568,
1255,9/11/2017 0:19,28.543,
1256,9/11/2017 0:20,28.543,
1257,9/11/2017 0:20,28.518,
1258,9/11/2017 0:21,28.518,
1259,9/11/2017 0:21,28.493,
1260,9/11/2017 0:22,28.493,
1261,9/11/2017 0:22,28.468,
1262,9/11/2017 0:23,28.468,
1263,9/11/2017 0:23,28.444,
1264,9/11/2017 0:24,28.419,
1265,9/11/2017 0:24,28.419,
1266,9/11/2017 0:25,28.394,
1267,9/11/2017 0:25,28.369,
1268,9/11/2017 0:26,28.345,
1269,9/11/2017 0:26,28.32,
1270,9/11/2017 0:27,28.32,
1271,9/11/2017 0:27,28.345,
1272,9/11/2017 0:28,28.345,
1273,9/11/2017 0:28,28.345,
1274,9/11/2017 0:29,28.369,
1275,9/11/2017 0:29,28.394,
1276,9/11/2017 0:30,28.444,
1277,9/11/2017 0:30,28.493,
1278,9/11/2017 0:31,28.593,
1279,9/11/2017 0:31,28.642,
1280,9/11/2017 0:32,28.717,
1281,9/11/2017 0:32,28.766,
1282,9/11/2017 0:33,28.816,
1283,9/11/2017 0:33,28.841,
1284,9/11/2017 0:34,28.866,
