Data Point,Date/Time,Egg Temp,Air Temp
1,4/21/2018 9:47,18.414,19.222
2,4/21/2018 9:47,18.343,18.794
3,4/21/2018 9:48,18.295,18.58
4,4/21/2018 9:48,18.271,18.557
5,4/21/2018 9:49,18.247,18.557
6,4/21/2018 9:49,18.247,18.604
7,4/21/2018 9:50,18.604,18.699
8,4/21/2018 9:50,18.913,18.818
9,4/21/2018 9:51,19.103,19.175
10,4/21/2018 9:51,19.27,19.27
11,4/21/2018 9:52,19.365,19.294
12,4/21/2018 9:52,19.579,19.318
13,4/21/2018 9:53,20.126,19.222
14,4/21/2018 9:53,20.674,19.056
15,4/21/2018 9:54,21.151,18.937
16,4/21/2018 9:54,21.557,18.794
17,4/21/2018 9:55,21.915,18.652
18,4/21/2018 9:55,22.226,18.533
19,4/21/2018 9:56,22.465,18.438
20,4/21/2018 9:56,22.705,18.366
21,4/21/2018 9:57,22.872,18.295
22,4/21/2018 9:57,23.04,18.247
23,4/21/2018 9:58,23.208,18.224
24,4/21/2018 9:58,23.376,18.224
25,4/21/2018 9:59,23.545,18.2
26,4/21/2018 9:59,23.713,18.176
27,4/21/2018 10:00,23.905,18.176
28,4/21/2018 10:00,24.05,18.176
29,4/21/2018 10:01,24.219,18.152
30,4/21/2018 10:01,24.412,18.152
31,4/21/2018 10:02,24.629,18.129
32,4/21/2018 10:02,24.871,18.152
33,4/21/2018 10:03,25.089,18.176
34,4/21/2018 10:03,25.283,18.176
35,4/21/2018 10:04,25.477,18.2
36,4/21/2018 10:04,25.671,18.224
37,4/21/2018 10:05,25.866,18.247
38,4/21/2018 10:05,26.061,18.271
39,4/21/2018 10:06,26.256,18.271
40,4/21/2018 10:06,26.475,18.295
41,4/21/2018 10:07,26.671,18.319
42,4/21/2018 10:07,26.867,18.319
43,4/21/2018 10:08,27.063,18.343
44,4/21/2018 10:08,27.235,18.343
45,4/21/2018 10:09,27.431,18.366
46,4/21/2018 10:09,27.653,18.39
47,4/21/2018 10:10,27.875,18.414
48,4/21/2018 10:10,28.072,18.414
49,4/21/2018 10:11,28.196,18.414
50,4/21/2018 10:11,28.345,18.438
51,4/21/2018 10:12,28.444,18.461
52,4/21/2018 10:12,28.593,18.461
53,4/21/2018 10:13,28.717,18.485
54,4/21/2018 10:13,28.841,18.509
55,4/21/2018 10:14,28.965,18.557
56,4/21/2018 10:14,29.04,18.58
57,4/21/2018 10:15,29.14,18.604
58,4/21/2018 10:15,29.24,18.628
59,4/21/2018 10:16,29.315,18.675
60,4/21/2018 10:16,29.439,18.723
61,4/21/2018 10:17,29.64,18.747
62,4/21/2018 10:17,29.74,18.794
63,4/21/2018 10:18,29.815,18.842
64,4/21/2018 10:18,29.89,18.866
65,4/21/2018 10:19,29.991,18.889
66,4/21/2018 10:19,30.066,18.937
67,4/21/2018 10:20,30.192,18.985
68,4/21/2018 10:20,30.293,19.008
69,4/21/2018 10:21,30.369,19.056
70,4/21/2018 10:21,30.444,19.103
71,4/21/2018 10:22,30.52,19.151
72,4/21/2018 10:22,30.596,19.199
73,4/21/2018 10:23,30.672,19.246
74,4/21/2018 10:23,30.798,19.294
75,4/21/2018 10:24,30.849,19.341
76,4/21/2018 10:24,30.9,19.389
77,4/21/2018 10:25,30.925,19.413
78,4/21/2018 10:25,30.95,19.46
79,4/21/2018 10:26,30.976,19.508
80,4/21/2018 10:26,31.001,19.555
81,4/21/2018 10:27,31.026,19.603
82,4/21/2018 10:27,31.052,19.627
83,4/21/2018 10:28,31.077,19.674
84,4/21/2018 10:28,31.103,19.698
85,4/21/2018 10:29,31.128,19.746
86,4/21/2018 10:29,31.153,19.77
87,4/21/2018 10:30,31.179,19.793
