example_input.csv
Day Number,Date,Off-bout Count (DN),Mean Off Duration (DN),Off Dur StDev (DN),Mean Off Temp Drop (DN),Off Drop StDev (DN),Mean Off-Bout Temp (DN),Off-Bout Time Sum (DN),On-bout Count (DN),Mean On Duration (DN),On Dur StDev (DN),Mean On Temp Rise (DN),On Rise StDev (DN),Mean On-Bout Temp (DN),On-Bout Time Sum (DN),Time above 30 (minutes),Time below 26 (minutes),Vertices Dropped (DN),Mean Daytime Egg Temp,Day Egg Temp StDev,Median Daytime Egg Temp,Min Daytime Egg Temp,Max Daytime Egg Temp,Mean Nighttime Egg Temp,Night Egg Temp StDev,Median Nighttime Egg Temp,Min Nighttime Egg Temp,Max Nighttime Egg Temp,Mean Egg Temp (DN),Egg Temp StDev (DN),Median Egg Temp (DN),Min Egg Temp (DN),Max Egg Temp (DN),Mean Air Temp (DN),Air Temp StDev (DN),Min Air Temp (DN),Max Air Temp (DN),
1 (Partial),04/21/2018,25,17.56,13.2,-0.976,0.877,32.235,439.0,26,14.5,11.96,1.368,2.509,32.01,377.0,794.5,18.5,4,32.511,2.275,32.949,18.247,34.783,31.054,0.947,30.672,29.916,32.639,32.101,2.098,32.484,18.247,34.783,25.811,4.266,17.106,30.091,
2 (Full),04/22/2018,45,17.58,14.46,-1.062,1.084,30.84,791.0,44,13.98,9.12,1.09,1.177,31.012,615.0,897.0,0.0,9,31.596,1.602,31.97,27.554,34.255,30.127,1.029,29.765,28.369,32.975,30.923,1.553,30.849,27.554,34.255,19.748,5.036,13.497,27.751,
3 (Full),04/23/2018,49,14.44,12.07,-1.293,1.482,30.767,707.5,50,13.77,7.47,1.237,1.382,31.051,688.5,1255.0,0.0,6,31.123,1.518,31.331,26.231,33.443,30.66,0.358,30.697,29.54,31.484,30.911,1.166,30.798,26.231,33.443,17.342,3.081,12.05,22.106,
4 (Full),04/24/2018,57,12.01,7.58,-1.09,1.362,29.877,684.5,56,12.33,8.12,1.094,1.378,30.153,690.5,711.5,23.5,3,30.416,1.884,30.748,24.388,33.053,29.54,0.986,29.389,27.825,31.765,30.015,1.599,29.966,24.388,33.053,14.127,5.378,6.433,21.294,
5 (Full),04/25/2018,64,10.32,6.89,-0.976,1.447,30.092,660.5,65,11.01,7.9,0.948,1.33,30.358,715.5,834.5,4.5,9,30.555,1.411,30.925,25.428,32.484,29.848,0.642,29.752,28.493,31.103,30.231,1.179,30.243,25.428,32.484,13.094,2.918,8.27,17.011,
6 (Full),04/26/2018,57,11.09,7.31,-1.353,1.507,29.802,632.0,56,13.52,8.78,1.345,1.579,30.084,757.0,695.0,27.0,11,30.242,1.833,30.571,24.171,33.001,29.617,0.86,29.414,26.72,31.612,29.955,1.502,29.916,24.171,33.001,11.557,5.136,4.063,18.461,
7 (Full),04/27/2018,62,10.02,7.52,-1.28,1.603,30.421,621.5,62,12.1,7.88,1.275,1.499,30.587,750.5,780.0,7.5,13,30.865,1.777,31.052,25.016,33.495,30.093,1.172,29.515,28.122,31.996,30.511,1.577,30.495,25.016,33.495,11.675,4.831,4.973,17.938,
8 (Full),04/28/2018,67,9.18,5.08,-1.22,1.518,30.854,615.0,68,11.19,7.5,1.171,1.465,30.923,761.0,1239.5,0.0,10,30.917,1.249,31.255,26.134,32.768,30.863,0.478,30.862,29.59,31.842,30.892,0.975,31.026,26.134,32.768,11.407,2.475,7.569,15.175,
9 (Full),04/29/2018,67,9.43,6.37,-1.152,1.466,30.339,631.5,67,11.07,7.81,1.165,1.356,30.27,742.0,1068.0,3.0,16,29.993,1.287,30.343,25.817,32.458,30.668,0.52,30.596,29.665,32.304,30.302,1.065,30.495,25.817,32.458,11.661,1.444,9.805,14.768,
10 (Full),04/30/2018,79,8.72,5.64,-1.524,1.714,30.761,689.0,78,8.62,5.56,1.517,1.598,30.699,672.0,1098.5,9.5,19,30.078,1.646,30.243,24.484,33.6,31.502,0.771,31.357,29.84,33.626,30.731,1.498,30.976,24.484,33.626,10.037,1.944,7.268,13.473,
--,ALL DATA,572,11.31,8.82,-1.217,1.471,30.549,6471.5,572,11.83,8.09,1.221,1.497,30.641,6769.0,9373.5,93.5,100,30.793,1.799,31.001,18.247,34.783,30.352,1.014,30.469,26.72,33.626,30.596,1.515,30.697,18.247,34.783,14.172,5.698,4.063,30.091,


Individual Bout Stats
Date,Bout Type,Start Time,End Time,Start Data Point,End Data Point,Duration (min),Egg Temp Change,Start Egg Temp,End Egg Temp,Mean Egg Temp, Egg Temp StDev,Start Air Temp, End Air Temp, Mean Air Temp, Air Temp StDev
04/21/2018,on,09:47,10:30,1,88,43.5,12.79,18.414,31.204,26.275,4.259,19.222,19.841,18.762,0.498
,off,10:31,10:38,89,103,7.0,-0.9870000000000019,31.23,30.243,30.699,0.362,19.865,20.317,20.088,0.132
,on,10:38,11:11,104,169,32.5,2.215,30.243,32.458,31.552,0.696,20.341,22.872,21.162,0.652
,off,11:11,11:16,170,179,4.5,-0.1280000000000001,32.458,32.33,32.407,0.062,22.992,23.785,23.444,0.266
,on,11:16,11:19,180,185,2.5,0.02499999999999858,32.33,32.355,32.347,0.013,23.857,24.098,23.982,0.092
,off,11:19,11:22,186,191,2.5,-0.05100000000000193,32.381,32.33,32.351,0.025,24.146,24.388,24.267,0.09
,on,11:22,11:29,192,205,6.5,0.284000000000006,32.355,32.639,32.512,0.106,24.46,25.21,24.824,0.236
,off,11:29,11:46,206,240,17.0,-2.094000000000001,32.639,30.545,31.645,0.722,25.258,26.622,25.886,0.395
,on,11:47,12:22,241,311,35.0,3.2119999999999997,30.571,33.783,32.294,0.881,26.646,28.642,28.14,0.588
,off,12:22,12:26,312,320,4.0,-0.10500000000000398,33.783,33.678,33.716,0.032,28.617,28.742,28.739,0.074
,on,12:27,12:29,321,325,2.0,0.05299999999999727,33.704,33.757,33.725,0.022,28.766,28.891,28.831,0.045
,off,12:29,12:54,326,376,25.0,-1.9919999999999973,33.757,31.765,32.943,0.678,28.916,29.34,29.501,0.229
,on,12:55,13:23,377,433,28.0,2.1489999999999974,31.791,33.94,33.123,0.61,29.315,28.866,29.121,0.182
,off,13:23,13:38,434,463,14.5,-1.4040000000000035,33.966,32.562,33.263,0.457,28.891,28.941,28.92,0.022
,on,13:38,14:02,464,512,24.0,1.4579999999999984,32.587,34.045,33.502,0.488,28.941,29.09,28.985,0.043
,off,14:03,14:10,513,527,7.0,-0.05300000000000438,34.045,33.992,34.013,0.023,29.09,29.19,29.128,0.031
,on,14:10,14:17,528,541,6.5,0.23700000000000188,33.992,34.229,34.105,0.094,29.19,29.14,29.165,0.037
,off,14:17,14:21,542,549,3.5,-0.10500000000000398,34.255,34.15,34.189,0.04,29.14,29.215,29.156,0.038
,on,14:21,14:23,550,554,2.0,0.05299999999999727,34.176,34.229,34.202,0.027,29.215,29.165,29.19,0.018
,off,14:24,14:47,555,602,23.5,-2.155999999999999,34.229,32.073,33.248,0.679,29.165,29.49,29.369,0.09
,on,14:48,15:19,603,666,31.5,2.6850000000000023,32.098,34.783,33.877,0.829,29.49,29.565,29.472,0.068
,off,15:20,15:45,667,718,25.5,-2.041000000000004,34.783,32.742,33.908,0.706,29.59,29.69,29.58,0.055
,on,15:46,15:59,719,745,13.0,1.3030000000000044,32.742,34.045,33.458,0.45,29.715,29.84,29.696,0.048
,off,15:59,16:05,746,758,6.0,-0.13100000000000023,34.045,33.914,33.986,0.053,29.865,29.916,29.892,0.016
,on,16:06,16:16,759,780,10.5,0.472999999999999,33.94,34.413,34.17,0.15,29.916,29.79,29.865,0.058
,off,16:17,16:40,781,827,23.0,-1.4889999999999972,34.413,32.924,33.746,0.452,29.765,29.84,29.886,0.047
,on,16:40,17:03,828,873,22.5,1.3590000000000018,32.949,34.308,33.633,0.382,29.865,29.765,29.942,0.106
,off,17:03,17:08,874,883,4.5,-0.15800000000000125,34.308,34.15,34.242,0.062,29.79,29.89,29.88,0.046
,on,17:08,17:13,884,893,4.5,0.15800000000000125,34.176,34.334,34.25,0.062,29.916,29.865,29.89,0.024
,off,17:13,17:45,894,957,31.5,-2.8750000000000036,34.334,31.459,32.873,0.934,29.84,29.24,29.538,0.178
,on,17:45,18:04,958,996,19.0,1.8290000000000006,31.484,33.313,32.632,0.591,29.24,29.215,29.259,0.03
,off,18:05,18:24,997,1035,19.0,-1.2150000000000034,33.313,32.098,32.774,0.407,29.24,28.791,29.022,0.162
,on,18:24,18:32,1036,1051,7.5,0.5930000000000035,32.098,32.691,32.439,0.218,28.816,28.841,28.843,0.031
,off,18:32,18:37,1052,1061,4.5,-0.1039999999999992,32.717,32.613,32.665,0.037,28.816,28.717,28.774,0.037
,on,18:37,18:46,1062,1079,8.5,0.4660000000000011,32.613,33.079,32.866,0.166,28.692,28.593,28.605,0.04
,off,18:46,19:11,1080,1130,25.0,-1.4420000000000002,33.079,31.637,32.562,0.466,28.593,28.097,28.363,0.164
,on,19:12,19:32,1131,1172,20.5,1.9629999999999974,31.663,33.626,32.81,0.648,28.072,27.653,27.858,0.128
,off,19:33,19:53,1173,1213,20.0,-2.115999999999996,33.626,31.51,32.612,0.738,27.653,26.916,27.249,0.219
,on,19:53,20:05,1214,1237,11.5,1.102999999999998,31.51,32.613,32.116,0.376,26.891,26.5,26.669,0.122
,off,20:05,20:17,1238,1261,11.5,-0.5399999999999991,32.613,32.073,32.352,0.216,26.475,26.109,26.326,0.097
,on,20:17,20:38,1262,1304,21.0,0.5660000000000025,32.073,32.639,32.406,0.187,26.085,25.065,25.561,0.299
,off,20:39,21:28,1305,1403,49.0,-1.4600000000000044,32.639,31.179,31.998,0.481,25.04,22.489,23.806,0.771
,on,21:28,21:31,1404,1410,3.0,0.07600000000000051,31.179,31.255,31.23,0.029,22.465,22.298,22.383,0.062
,off,21:32,22:07,1411,1481,35.0,-0.759999999999998,31.255,30.495,30.85,0.305,22.274,20.65,21.465,0.478
,on,22:07,22:13,1482,1493,5.5,0.1509999999999998,30.495,30.646,30.577,0.063,20.627,20.341,20.494,0.094
,off,22:13,22:17,1494,1502,4.0,-0.02500000000000213,30.646,30.621,30.635,0.013,20.317,20.198,20.261,0.043
,on,22:18,22:23,1503,1514,5.5,0.12600000000000122,30.596,30.722,30.674,0.045,20.174,19.984,20.077,0.066
,off,22:24,22:54,1515,1576,30.5,-0.6310000000000002,30.722,30.091,30.35,0.222,19.96,18.866,19.388,0.324
,on,22:55,23:02,1577,1591,7.0,0.20199999999999818,30.091,30.293,30.179,0.062,18.842,18.604,18.726,0.077
,off,23:02,23:44,1592,1675,41.5,-0.32700000000000173,30.268,29.941,30.102,0.108,18.604,17.439,17.995,0.33
,on,23:44,23:48,1676,1683,3.5,0.05000000000000071,29.941,29.991,29.966,0.019,17.439,17.368,17.403,0.025
,off,23:48,00:16,1684,1740,28.0,-0.2259999999999991,29.991,29.765,29.905,0.065,17.368,16.701,17.029,0.192
04/22/2018,on,00:17,00:21,1741,1750,4.5,0.10000000000000142,29.74,29.84,29.805,0.034,16.701,16.558,16.62,0.048
,off,00:22,00:27,1751,1761,5.0,0.02499999999999858,29.84,29.865,29.845,0.01,16.558,16.415,16.487,0.043
,on,00:27,00:31,1762,1769,3.5,0.10100000000000264,29.865,29.966,29.919,0.049,16.415,16.32,16.377,0.033
,off,00:31,01:07,1770,1841,35.5,-0.527000000000001,29.966,29.439,29.67,0.171,16.32,15.485,15.882,0.244
,on,01:07,01:13,1842,1854,6.0,0.2010000000000005,29.439,29.64,29.555,0.069,15.461,15.366,15.428,0.033
,off,01:14,02:17,1855,1981,63.0,-1.2710000000000008,29.64,28.369,29.125,0.392,15.366,14.433,14.864,0.271
,on,02:17,02:31,1982,2009,13.5,0.6709999999999994,28.369,29.04,28.786,0.233,14.433,14.29,14.366,0.039
,off,02:31,02:44,2010,2035,12.5,-0.24899999999999878,29.04,28.791,28.96,0.093,14.29,14.17,14.225,0.038
,on,02:44,02:56,2036,2060,12.0,0.19900000000000162,28.816,29.015,28.915,0.067,14.17,14.026,14.096,0.039
,off,02:57,03:02,2061,2071,5.0,-0.1739999999999995,29.015,28.841,28.929,0.064,14.026,13.978,14.013,0.017
,on,03:02,03:23,2072,2113,20.5,0.7489999999999988,28.841,29.59,29.203,0.244,14.002,13.834,13.905,0.048
,off,03:23,03:26,2114,2119,2.5,0.0,29.59,29.59,29.59,0.0,13.81,13.786,13.806,0.01
,on,03:26,03:29,2120,2126,3.0,0.07499999999999929,29.59,29.665,29.626,0.032,13.786,13.786,13.786,0.0
,off,03:30,04:17,2127,2221,47.0,-0.5500000000000007,29.69,29.14,29.354,0.154,13.786,13.497,13.603,0.087
,on,04:17,04:20,2222,2227,2.5,0.02499999999999858,29.14,29.165,29.157,0.013,13.497,13.497,13.497,0.0
,off,04:20,04:33,2228,2254,13.0,-0.20000000000000284,29.19,28.99,29.058,0.066,13.497,13.522,13.507,0.013
,on,04:34,04:51,2255,2289,17.0,0.4740000000000002,28.99,29.464,29.236,0.128,13.522,13.618,13.576,0.019
