CanaryCtrlB68-1.csv
Day Number,Date,Off-bout Count (DN),Mean Off Duration (DN),Off Dur StDev (DN),Mean Off Temp Drop (DN),Off Drop StDev (DN),Mean Off-Bout Temp (DN),Off-Bout Time Sum (DN),On-bout Count (DN),Mean On Duration (DN),On Dur StDev (DN),Mean On Temp Rise (DN),On Rise StDev (DN),Mean On-Bout Temp (DN),On-Bout Time Sum (DN),Time above 30 (minutes),Time below 26 (minutes),Vertices Dropped (DN),Mean Daytime Egg Temp,Day Egg Temp StDev,Median Daytime Egg Temp,Min Daytime Egg Temp,Max Daytime Egg Temp,Mean Nighttime Egg Temp,Night Egg Temp StDev,Median Nighttime Egg Temp,Min Nighttime Egg Temp,Max Nighttime Egg Temp,Mean Egg Temp (DN),Egg Temp StDev (DN),Median Egg Temp (DN),Min Egg Temp (DN),Max Egg Temp (DN),
1 (Full),09/22/2017,60,12.25,13.06,-1.239,1.352,28.253,735.0,67,9.33,7.11,1.048,1.347,28.511,625.0,30.5,113.0,13,27.843,1.873,28.394,22.561,31.459,29.003,0.473,29.04,26.965,30.167,28.375,1.528,28.891,22.561,31.459,
2 (Full),09/23/2017,79,8.42,8.36,-0.931,0.768,28.919,665.5,85,7.88,4.66,0.813,0.818,29.133,669.5,179.5,0.0,13,29.265,0.759,29.24,26.72,31.535,28.739,0.748,28.593,27.259,30.646,29.024,0.798,29.04,26.72,31.535,
3 (Full),09/24/2017,72,9.88,11.71,-0.915,0.861,28.603,711.0,81,7.91,4.82,0.764,0.761,28.746,641.0,16.0,3.5,17,28.674,0.622,28.667,26.475,30.419,28.673,0.659,28.617,25.647,30.394,28.673,0.639,28.642,25.647,30.419,
4 (Full),09/25/2017,79,8.63,9.11,-0.845,0.776,29.149,681.5,81,8.23,5.82,0.785,0.765,29.185,667.0,209.5,0.0,11,28.793,0.6,28.841,26.426,30.243,29.6,0.679,29.426,27.21,31.052,29.163,0.754,29.115,26.426,31.052,
5 (Full),09/26/2017,79,9.05,9.43,-0.918,0.926,28.646,715.0,84,7.46,4.5,0.782,0.86,28.637,626.5,204.5,4.5,10,28.362,0.747,28.345,25.404,30.824,28.977,1.125,28.617,26.598,30.95,28.644,0.988,28.444,25.404,30.95,
6 (Full),09/27/2017,77,9.52,11.24,-0.978,0.859,28.119,733.0,89,6.83,4.93,0.784,0.955,28.296,608.0,31.0,1.5,22,28.299,0.781,28.27,25.841,30.318,28.081,0.697,28.072,26.109,30.95,28.199,0.751,28.147,25.841,30.95,
7 (Full),09/28/2017,78,9.36,8.64,-0.996,0.909,28.018,730.0,87,6.74,3.8,0.814,0.83,28.115,586.5,0.0,14.0,17,27.965,0.737,28.097,25.21,29.54,28.183,0.357,28.171,27.063,29.09,28.065,0.604,28.147,25.21,29.54,
8 (Full),09/29/2017,78,9.73,10.66,-1.08,0.867,27.684,759.0,86,6.98,4.39,0.893,0.751,27.74,600.5,0.0,10.0,19,27.621,0.679,27.628,25.234,29.414,27.822,0.406,27.85,26.304,29.29,27.713,0.579,27.776,25.234,29.414,
9 (Full),09/30/2017,86,7.62,7.23,-1.289,1.121,28.138,655.5,101,6.33,3.86,1.054,1.105,28.333,639.5,84.5,17.5,20,28.062,0.903,28.097,24.798,30.444,28.407,1.111,27.998,26.867,30.293,28.22,1.018,28.048,24.798,30.444,
10 (Partial),10/01/2017,53,8.23,8.8,-1.035,1.284,26.781,436.0,54,7.17,4.8,0.95,1.13,27.0,387.0,0.0,98.5,10,26.492,1.427,26.842,20.984,28.369,27.347,0.62,27.518,25.89,28.468,26.895,1.2,27.063,20.984,28.468,
--,ALL DATA,741,9.21,9.88,-1.02,0.976,28.277,6821.5,815,7.42,4.92,0.866,0.939,28.438,6050.5,755.5,262.5,152,28.205,1.167,28.32,20.984,31.535,28.526,0.942,28.419,25.647,31.052,28.352,1.082,28.369,20.984,31.535,


Individual Bout Stats
Date,Bout Type,Start Time,End Time,Start Data Point,End Data Point,Duration (min),Egg Temp Change,Start Egg Temp,End Egg Temp,Mean Egg Temp,
09/22/2017,on,00:00,00:04,10244,10253,4.5,0.05000000000000071,29.29,29.34,29.315,
,off,00:05,00:18,10254,10281,13.5,-0.02499999999999858,29.34,29.315,29.322,
,on,00:19,00:29,10282,10303,10.5,0.14899999999999736,29.315,29.464,29.389,
,off,00:30,00:58,10304,10360,28.0,-0.4740000000000002,29.464,28.99,29.143,
,on,00:58,01:05,10361,10375,7.0,0.32500000000000284,28.99,29.315,29.147,
,off,01:06,01:55,10376,10474,49.0,-1.0700000000000003,29.315,28.245,28.727,
,on,01:55,02:14,10475,10512,18.5,0.8689999999999998,28.221,29.09,28.736,
,off,02:14,02:23,10513,10530,8.5,-0.10000000000000142,29.09,28.99,29.03,
,on,02:23,02:29,10531,10543,6.0,0.125,28.99,29.115,29.059,
,off,02:30,02:59,10544,10603,29.5,-0.2989999999999995,29.14,28.841,29.007,
,on,03:00,03:05,10604,10614,5.0,0.09999999999999787,28.841,28.941,28.896,
,off,03:05,03:09,10615,10623,4.0,-0.02499999999999858,28.941,28.916,28.933,
,on,03:10,03:16,10624,10636,6.0,0.0990000000000002,28.941,29.04,28.992,
,off,03:16,03:29,10637,10662,12.5,-0.12399999999999878,29.04,28.916,28.974,
,on,03:29,03:38,10663,10681,9.0,0.1739999999999995,28.916,29.09,29.017,
,off,03:39,04:08,10682,10740,29.0,-0.347999999999999,29.09,28.742,28.903,
,on,04:08,04:20,10741,10764,11.5,0.19899999999999807,28.742,28.941,28.839,
,off,04:20,04:29,10765,10783,9.0,-0.24899999999999878,28.941,28.692,28.862,
,on,04:30,04:36,10784,10797,6.5,0.12400000000000233,28.717,28.841,28.782,
,off,04:37,04:39,10798,10802,2.0,-0.02500000000000213,28.841,28.816,28.826,
,on,04:39,04:49,10803,10822,9.5,0.1739999999999995,28.816,28.99,28.892,
,on,04:50,04:53,10825,10830,2.5,0.05000000000000071,28.99,29.04,29.019,
,off,04:53,04:56,10831,10837,3.0,-0.02499999999999858,29.04,29.015,29.026,
,on,04:57,05:00,10838,10845,3.5,0.07499999999999929,29.015,29.09,29.056,
,on,05:01,05:06,10847,10857,5.0,0.14999999999999858,29.09,29.24,29.167,
,off,05:07,05:29,10858,10902,22.0,-0.9200000000000017,29.265,28.345,28.863,
,on,05:29,05:38,10903,10921,9.0,0.2480000000000011,28.369,28.617,28.453,
,off,05:39,05:49,10922,10943,10.5,-0.1490000000000009,28.617,28.468,28.537,
,on,05:50,06:12,10944,10989,22.5,1.0219999999999985,28.468,29.49,29.126,
,on,06:13,06:23,10991,11010,9.5,0.15000000000000213,29.49,29.64,29.576,
,on,06:24,06:35,11012,11034,11.0,0.527000000000001,29.64,30.167,29.885,
,off,06:35,06:43,11035,11051,8.0,-1.0520000000000032,30.167,29.115,29.85,
,on,06:44,06:48,11052,11060,4.0,0.5249999999999986,29.19,29.715,29.473,
,on,06:49,06:52,11062,11069,3.5,0.4259999999999984,29.64,30.066,29.828,
,off,06:53,06:56,11070,11077,3.5,-0.7510000000000012,30.091,29.34,29.631,
,on,06:57,07:00,11078,11085,3.5,0.1999999999999993,29.34,29.54,29.455,
,off,07:01,07:05,11086,11094,4.0,-0.3249999999999993,29.54,29.215,29.398,
,on,07:05,07:12,11095,11108,6.5,0.3249999999999993,29.265,29.59,29.481,
,off,07:12,07:21,11109,11126,8.5,-0.02499999999999858,29.59,29.565,29.571,
,on,07:21,07:24,11127,11132,2.5,0.07499999999999929,29.565,29.64,29.594,
,off,07:24,07:29,11133,11142,4.5,-1.5429999999999993,29.665,28.122,28.94,
,on,07:29,07:32,11143,11149,3.0,0.6199999999999974,28.196,28.816,28.561,
,on,07:34,07:40,11153,11164,5.5,0.8979999999999997,28.692,29.59,29.217,
,off,07:40,07:45,11165,11175,5.0,-1.6409999999999982,29.59,27.949,28.929,
,on,07:46,07:50,11176,11185,4.5,1.2420000000000009,28.048,29.29,28.852,
,off,07:51,07:55,11186,11195,4.5,-0.14999999999999858,29.29,29.14,29.24,
