example_input.csv
Day Number,Date,Off-bout Count (DN),Mean Off Duration (DN),Off Dur StDev (DN),Mean Off Temp Drop (DN),Off Drop StDev (DN),Mean Off-Bout Temp (DN),Off-Bout Time Sum (DN),On-bout Count (DN),Mean On Duration (DN),On Dur StDev (DN),Mean On Temp Rise (DN),On Rise StDev (DN),Mean On-Bout Temp (DN),On-Bout Time Sum (DN),Time above 30 (minutes),Time below 26 (minutes),Vertices Dropped (DN),Mean Daytime Egg Temp,Day Egg Temp StDev,Median Daytime Egg Temp,Min Daytime Egg Temp,Max Daytime Egg Temp,Mean Nighttime Egg Temp,Night Egg Temp StDev,Median Nighttime Egg Temp,Min Nighttime Egg Temp,Max Nighttime Egg Temp,Mean Egg Temp (DN),Egg Temp StDev (DN),Median Egg Temp (DN),Min Egg Temp (DN),Max Egg Temp (DN),Mean Air Temp (DN),Air Temp StDev (DN),Min Air Temp (DN),Max Air Temp (DN),
1 (Partial),04/21/2018,25,17.56,13.2,-0.976,0.877,32.235,439.0,29,12.71,10.7,1.234,2.416,32.069,368.5,794.5,18.5,4,32.511,2.275,32.949,18.247,34.783,31.054,0.947,30.672,29.916,32.639,32.101,2.098,32.484,18.247,34.783,25.811,4.266,17.106,30.091,
2 (Full),04/22/2018,46,17.14,14.52,-1.041,1.08,30.834,788.5,52,11.59,8.15,0.924,1.119,30.994,602.5,897.0,0.0,9,31.596,1.602,31.97,27.554,34.255,30.127,1.029,29.765,28.369,32.975,30.923,1.553,30.849,27.554,34.255,19.748,5.036,13.497,27.751,
3 (Full),04/23/2018,49,14.44,12.07,-1.293,1.482,30.767,707.5,56,12.08,7.56,1.106,1.356,31.041,676.5,1255.0,0.0,6,31.123,1.518,31.331,26.231,33.443,30.66,0.358,30.697,29.54,31.484,30.911,1.166,30.798,26.231,33.443,17.342,3.081,12.05,22.106,
4 (Full),04/24/2018,57,12.01,7.58,-1.09,1.362,29.877,684.5,59,11.6,8.01,1.038,1.363,30.145,684.5,711.5,23.5,3,30.416,1.884,30.748,24.388,33.053,29.54,0.986,29.389,27.825,31.765,30.015,1.599,29.966,24.388,33.053,14.127,5.378,6.433,21.294,
5 (Full),04/25/2018,64,10.32,6.89,-0.976,1.447,30.092,660.5,74,9.44,6.42,0.835,1.235,30.347,698.5,834.5,4.5,9,30.555,1.411,30.925,25.428,32.484,29.848,0.642,29.752,28.493,31.103,30.231,1.179,30.243,25.428,32.484,13.094,2.918,8.27,17.011,
6 (Full),04/26/2018,57,11.09,7.31,-1.353,1.507,29.802,632.0,67,10.99,7.31,1.127,1.431,30.081,736.0,695.0,27.0,11,30.242,1.833,30.571,24.171,33.001,29.617,0.86,29.414,26.72,31.612,29.955,1.502,29.916,24.171,33.001,11.557,5.136,4.063,18.461,
7 (Full),04/27/2018,62,10.02,7.52,-1.28,1.603,30.421,621.5,75,9.67,6.74,1.063,1.344,30.588,725.5,780.0,7.5,13,30.865,1.777,31.052,25.016,33.495,30.093,1.172,29.515,28.122,31.996,30.511,1.577,30.495,25.016,33.495,11.675,4.831,4.973,17.938,
8 (Full),04/28/2018,67,9.18,5.08,-1.22,1.518,30.854,615.0,78,9.51,6.16,1.024,1.387,30.918,742.0,1239.5,0.0,10,30.917,1.249,31.255,26.134,32.768,30.863,0.478,30.862,29.59,31.842,30.892,0.975,31.026,26.134,32.768,11.407,2.475,7.569,15.175,
9 (Full),04/29/2018,70,8.92,6.13,-1.107,1.449,30.342,624.5,80,8.99,7.07,0.978,1.289,30.257,719.0,1068.0,3.0,16,29.993,1.287,30.343,25.817,32.458,30.668,0.52,30.596,29.665,32.304,30.302,1.065,30.495,25.817,32.458,11.661,1.444,9.805,14.768,
10 (Full),04/30/2018,84,8.05,5.45,-1.442,1.692,30.749,676.5,92,7.02,4.88,1.293,1.395,30.687,646.0,1098.5,9.5,19,30.078,1.646,30.243,24.484,33.6,31.502,0.771,31.357,29.84,33.626,30.731,1.498,30.976,24.484,33.626,10.037,1.944,7.268,13.473,
--,ALL DATA,581,11.1,8.79,-1.2,1.465,30.547,6449.5,662,9.97,7.19,1.059,1.394,30.636,6599.0,9373.5,93.5,100,30.793,1.799,31.001,18.247,34.783,30.352,1.014,30.469,26.72,33.626,30.596,1.515,30.697,18.247,34.783,14.172,5.698,4.063,30.091,


Individual Bout Stats
Date,Bout Type,Start Time,End Time,Start Data Point,End Data Point,Duration (min),Egg Temp Change,Start Egg Temp,End Egg Temp,Mean Egg Temp,Start Air Temp, End Air Temp, Mean Air Temp
04/21/2018,on,09:49,10:30,5,88,41.5,12.957,18.247,31.204,26.653,18.557,19.841,18.76,
,off,10:31,10:38,89,103,7.0,-0.9870000000000019,31.23,30.243,30.699,19.865,20.317,20.088,
,on,10:38,11:06,104,160,28.0,2.163999999999998,30.243,32.407,31.417,20.341,21.963,20.955,
,on,11:09,11:11,165,169,2.0,0.10300000000000153,32.355,32.458,32.422,22.465,22.872,22.676,
,off,11:11,11:16,170,179,4.5,-0.1280000000000001,32.458,32.33,32.407,22.992,23.785,23.444,
,on,11:16,11:19,180,185,2.5,0.02499999999999858,32.33,32.355,32.347,23.857,24.098,23.982,
,off,11:19,11:22,186,191,2.5,-0.05100000000000193,32.381,32.33,32.351,24.146,24.388,24.267,
,on,11:22,11:29,192,205,6.5,0.284000000000006,32.355,32.639,32.512,24.46,25.21,24.824,
,off,11:29,11:46,206,240,17.0,-2.094000000000001,32.639,30.545,31.645,25.258,26.622,25.886,
,on,11:47,12:22,241,311,35.0,3.2119999999999997,30.571,33.783,32.294,26.646,28.642,28.14,
,off,12:22,12:26,312,320,4.0,-0.10500000000000398,33.783,33.678,33.716,28.617,28.742,28.739,
,on,12:27,12:29,321,325,2.0,0.05299999999999727,33.704,33.757,33.725,28.766,28.891,28.831,
,off,12:29,12:54,326,376,25.0,-1.9919999999999973,33.757,31.765,32.943,28.916,29.34,29.501,
,on,12:55,13:05,377,398,10.5,1.3139999999999965,31.791,33.105,32.53,29.315,29.315,29.298,
,on,13:08,13:23,403,433,15.0,0.8350000000000009,33.105,33.94,33.545,29.19,28.866,28.973,
,off,13:23,13:38,434,463,14.5,-1.4040000000000035,33.966,32.562,33.263,28.891,28.941,28.92,
,on,13:38,13:55,464,497,16.5,1.3269999999999982,32.587,33.914,33.293,28.941,28.99,28.962,
,on,13:56,14:02,500,512,6.0,0.13100000000000023,33.914,34.045,33.986,29.04,29.09,29.042,
,off,14:03,14:10,513,527,7.0,-0.05300000000000438,34.045,33.992,34.013,29.09,29.19,29.128,
,on,14:10,14:17,528,541,6.5,0.23700000000000188,33.992,34.229,34.105,29.19,29.14,29.165,
,off,14:17,14:21,542,549,3.5,-0.10500000000000398,34.255,34.15,34.189,29.14,29.215,29.156,
,on,14:21,14:23,550,554,2.0,0.05299999999999727,34.176,34.229,34.202,29.215,29.165,29.19,
,off,14:24,14:47,555,602,23.5,-2.155999999999999,34.229,32.073,33.248,29.165,29.49,29.369,
,on,14:48,15:19,603,666,31.5,2.6850000000000023,32.098,34.783,33.877,29.49,29.565,29.472,
,off,15:20,15:45,667,718,25.5,-2.041000000000004,34.783,32.742,33.908,29.59,29.69,29.58,
,on,15:46,15:59,719,745,13.0,1.3030000000000044,32.742,34.045,33.458,29.715,29.84,29.696,
,off,15:59,16:05,746,758,6.0,-0.13100000000000023,34.045,33.914,33.986,29.865,29.916,29.892,
,on,16:06,16:16,759,780,10.5,0.472999999999999,33.94,34.413,34.17,29.916,29.79,29.865,
,off,16:17,16:40,781,827,23.0,-1.4889999999999972,34.413,32.924,33.746,29.765,29.84,29.886,
,on,16:40,17:03,828,873,22.5,1.3590000000000018,32.949,34.308,33.633,29.865,29.765,29.942,
,off,17:03,17:08,874,883,4.5,-0.15800000000000125,34.308,34.15,34.242,29.79,29.89,29.88,
,on,17:08,17:13,884,893,4.5,0.15800000000000125,34.176,34.334,34.25,29.916,29.865,29.89,
,off,17:13,17:45,894,957,31.5,-2.8750000000000036,34.334,31.459,32.873,29.84,29.24,29.538,
,on,17:45,18:04,958,996,19.0,1.8290000000000006,31.484,33.313,32.632,29.24,29.215,29.259,
,off,18:05,18:24,997,1035,19.0,-1.2150000000000034,33.313,32.098,32.774,29.24,28.791,29.022,
,on,18:24,18:32,1036,1051,7.5,0.5930000000000035,32.098,32.691,32.439,28.816,28.841,28.843,
,off,18:32,18:37,1052,1061,4.5,-0.1039999999999992,32.717,32.613,32.665,28.816,28.717,28.774,
,on,18:37,18:46,1062,1079,8.5,0.4660000000000011,32.613,33.079,32.866,28.692,28.593,28.605,
,off,18:46,19:11,1080,1130,25.0,-1.4420000000000002,33.079,31.637,32.562,28.593,28.097,28.363,
,on,19:12,19:32,1131,1172,20.5,1.9629999999999974,31.663,33.626,32.81,28.072,27.653,27.858,
,off,19:33,19:53,1173,1213,20.0,-2.115999999999996,33.626,31.51,32.612,27.653,26.916,27.249,
,on,19:53,20:05,1214,1237,11.5,1.102999999999998,31.51,32.613,32.116,26.891,26.5,26.669,
,off,20:05,20:17,1238,1261,11.5,-0.5399999999999991,32.613,32.073,32.352,26.475,26.109,26.326,
,on,20:17,20:38,1262,1304,21.0,0.5660000000000025,32.073,32.639,32.406,26.085,25.065,25.561,
,off,20:39,21:28,1305,1403,49.0,-1.4600000000000044,32.639,31.179,31.998,25.04,22.489,23.806,
,on,21:28,21:31,1404,1410,3.0,0.07600000000000051,31.179,31.255,31.23,22.465,22.298,22.383,
,off,21:32,22:07,1411,1481,35.0,-0.759999999999998,31.255,30.495,30.85,22.274,20.65,21.465,
,on,22:07,22:13,1482,1493,5.5,0.1509999999999998,30.495,30.646,30.577,20.627,20.341,20.494,
,off,22:13,22:17,1494,1502,4.0,-0.02500000000000213,30.646,30.621,30.635,20.317,20.198,20.261,
,on,22:18,22:23,1503,1514,5.5,0.12600000000000122,30.596,30.722,30.674,20.174,19.984,20.077,
,off,22:24,22:54,1515,1576,30.5,-0.6310000000000002,30.722,30.091,30.35,19.96,18.866,19.388,
,on,22:55,23:02,1577,1591,7.0,0.20199999999999818,30.091,30.293,30.179,18.842,18.604,18.726,
,off,23:02,23:44,1592,1675,41.5,-0.32700000000000173,30.268,29.941,30.102,18.604,17.439,17.995,
,on,23:44,23:48,1676,1683,3.5,0.05000000000000071,29.941,29.991,29.966,17.439,17.368,17.403,
,off,23:48,00:16,1684,1740,28.0,-0.2259999999999991,29.991,29.765,29.905,17.368,16.701,17.029,
04/22/2018,on,00:17,00:21,1741,1750,4.5,0.10000000000000142,29.74,29.84,29.805,16.701,16.558,16.62,
,off,00:22,00:27,1751,1761,5.0,0.02499999999999858,29.84,29.865,29.845,16.558,16.415,16.487,
,on,00:27,00:31,1762,1769,3.5,0.10100000000000264,29.865,29.966,29.919,16.415,16.32,16.377,
,off,00:31,01:07,1770,1841,35.5,-0.527000000000001,29.966,29.439,29.67,16.32,15.485,15.882,
,on,01:07,01:13,1842,1854,6.0,0.2010000000000005,29.439,29.64,29.555,15.461,15.366,15.428,
,off,01:14,02:17,1855,1981,63.0,-1.2710000000000008,29.64,28.369,29.125,15.366,14.433,14.864,
,on,02:17,02:31,1982,2009,13.5,0.6709999999999994,28.369,29.04,28.786,14.433,14.29,14.366,
,off,02:31,02:44,2010,2035,12.5,-0.24899999999999878,29.04,28.791,28.96,14.29,14.17,14.225,
,on,02:44,02:56,2036,2060,12.0,0.19900000000000162,28.816,29.015,28.915,14.17,14.026,14.096,
,off,02:57,03:02,2061,2071,5.0,-0.1739999999999995,29.015,28.841,28.929,14.026,13.978,14.013,
,on,03:02,03:23,2072,2113,20.5,0.7489999999999988,28.841,29.59,29.203,14.002,13.834,13.905,
,off,03:23,03:26,2114,2119,2.5,0.0,29.59,29.59,29.59,13.81,13.786,13.806,
,on,03:26,03:29,2120,2126,3.0,0.07499999999999929,29.59,29.665,29.626,13.786,13.786,13.786,
,off,03:30,04:17,2127,2221,47.0,-0.5500000000000007,29.69,29.14,29.354,13.786,13.497,13.603,
,on,04:17,04:20,2222,2227,2.5,0.02499999999999858,29.14,29.165,29.157,13.497,13.497,13.497,
,off,04:20,04:33,2228,2254,13.0,-0.20000000000000284,29.19,28.99,29.058,13.497,13.522,13.507,
,on,04:34,04:51,2255,2289,17.0,0.4740000000000002,28.99,29.464,29.236,13.522,13.618,13.576,
,off,04:51,04:54,2290,2296,3.0,-0.02499999999999858,29.464,29.439,29.443,13.642,13.642,13.642,
,on,04:55,04:59,2297,2305,4.0,0.05099999999999838,29.439,29.49,29.464,13.642,13.666,13.658,
,off,04:59,05:04,2306,2316,5.0,0.0,29.515,29.515,29.51,13.666,13.714,13.699,
,on,05:05,05:10,2317,2328,5.5,0.07499999999999929,29.515,29.59,29.555,13.714,13.738,13.732,
,on,05:11,05:17,2330,2342,6.0,0.14999999999999858,29.59,29.74,29.659,13.786,13.834,13.801,
,off,05:18,05:50,2343,2408,32.5,-0.5249999999999986,29.74,29.215,29.487,13.834,14.266,14.029,
,on,05:51,06:03,2409,2433,12.0,0.5500000000000007,29.24,29.79,29.488,14.266,14.314,14.286,
,off,06:03,06:08,2434,2443,4.5,-0.09999999999999787,29.79,29.69,29.723,14.314,14.433,14.371,
,on,06:08,06:28,2444,2483,19.5,0.4519999999999982,29.69,30.142,29.935,14.457,14.625,14.531,
,off,06:28,06:47,2484,2522,19.0,-0.3019999999999996,30.142,29.84,29.955,14.625,14.84,14.718,
,on,06:48,06:54,2523,2536,6.5,0.12600000000000122,29.84,29.966,29.907,14.84,14.864,14.845,
,off,06:55,06:58,2537,2544,3.5,0.0,29.966,29.966,29.95,14.888,14.888,14.888,
,on,06:59,07:11,2545,2569,12.0,0.4529999999999994,29.941,30.394,30.137,14.888,14.96,14.915,
,off,07:11,07:20,2570,2587,8.5,-1.777000000000001,30.419,28.642,29.472,14.984,15.079,15.086,
,on,07:20,07:33,2588,2614,13.0,1.5500000000000007,28.642,30.192,29.466,15.079,15.127,15.096,
,off,07:34,07:42,2615,2632,8.5,-1.9719999999999978,30.217,28.245,29.218,15.127,15.27,15.257,
,on,07:43,08:04,2633,2676,21.5,2.1239999999999988,28.245,30.369,29.496,15.27,15.366,15.321,
,off,08:05,08:16,2677,2699,11.0,-2.84,30.394,27.554,28.973,15.366,15.533,15.524,
,on,08:16,08:39,2700,2746,23.0,3.0420000000000016,27.554,30.596,29.394,15.509,15.724,15.594,
,off,08:40,09:09,2747,2806,29.5,-2.8939999999999984,30.596,27.702,29.724,15.724,16.201,15.936,
,on,09:10,09:50,2807,2887,40.0,3.0199999999999996,27.702,30.722,29.683,16.201,16.796,16.516,
,on,09:51,09:57,2889,2902,6.5,0.2789999999999999,30.722,31.001,30.853,16.82,16.939,16.863,
,off,09:58,10:13,2903,2934,15.5,-3.2989999999999995,31.001,27.702,29.447,16.963,17.225,17.095,
,on,10:14,10:40,2935,2988,26.5,3.4279999999999973,27.751,31.179,30.103,17.225,18.247,17.727,
,on,10:41,10:47,2990,3001,5.5,0.17800000000000082,31.204,31.382,31.283,18.295,18.509,18.406,
,off,10:47,11:07,3002,3041,19.5,-2.6400000000000006,31.382,28.742,30.264,18.557,19.888,19.154,
,on,11:07,11:31,3042,3089,23.5,3.487000000000002,28.766,32.253,30.582,19.96,22.178,21.137,
,off,11:31,11:35,3090,3097,3.5,-0.10300000000000153,32.278,32.175,32.214,22.226,22.417,22.324,
,on,11:35,11:43,3098,3113,7.5,0.28300000000000125,32.175,32.458,32.301,22.465,23.064,22.745,
,off,11:43,12:02,3114,3152,19.0,-2.1910000000000025,32.484,30.293,31.594,23.112,24.847,24.046,
,on,12:03,12:14,3153,3175,11.0,1.6509999999999998,30.293,31.944,31.194,24.871,25.453,25.226,
,off,12:14,12:18,3176,3183,3.5,-0.20500000000000185,31.919,31.714,31.832,25.453,25.598,25.528,
,on,12:18,12:31,3184,3210,13.0,1.3389999999999986,31.714,33.053,32.468,25.598,26.085,25.82,
